
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
368	18.450000	0.217294	0.109670
369	18.500000	0.222484	0.097895
370	18.550000	0.227081	0.085964
371	18.600000	0.231078	0.073908
372	18.650000	0.234470	0.061758
373	18.700000	0.237253	0.049545
374	18.750000	0.239424	0.037300
375	18.800000	0.240983	0.025053
376	18.850000	0.241930	0.012836
377	18.900000	0.242267	0.000678
378	18.950000	0.241999	-0.011391
379	19.000000	0.241130	-0.023342
380	19.050000	0.239667	-0.035145
381	19.100000	0.237619	-0.046772
382	19.150000	0.234994	-0.058196
383	19.200000	0.231803	-0.069390
384	19.250000	0.228059	-0.080327
385	19.300000	0.223775	-0.090982
386	19.350000	0.218966	-0.101332
387	19.400000	0.213647	-0.111351
388	19.450000	0.207836	-0.121019
389	19.500000	0.201552	-0.130313
390	19.550000	0.194812	-0.139213
391	19.600000	0.187637	-0.147699
392	19.650000	0.180049	-0.155755
393	19.700000	0.172069	-0.163363
394	19.750000	0.163721	-0.170507
395	19.800000	0.155027	-0.177172
396	19.850000	0.146011	-0.183347
397	19.900000	0.136700	-0.189020
398	19.950000	0.127118	-0.194179
399	20.000000	0.117291	-0.198816
400	20.050000	0.107245	-0.202923
401	20.100000	0.097008	-0.206495
402	20.150000	0.086605	-0.209525
403	20.200000	0.076064	-0.212012
404	20.250000	0.065413	-0.213951
405	20.300000	0.054678	-0.215344
406	20.350000	0.043887	-0.216189
407	20.400000	0.033068	-0.216490
408	20.450000	0.022247	-0.216250
409	20.500000	0.011452	-0.215473
410	20.550000	0.000709	-0.214165
411	20.600000	-0.009956	-0.212334
412	20.650000	-0.020516	-0.209988
413	20.700000	-0.030946	-0.207136
414	20.750000	-0.041221	-0.203790
415	20.800000	-0.051317	-0.199961
416	20.850000	-0.061209	-0.195663
417	20.900000	-0.070876	-0.190910
418	20.950000	-0.080293	-0.185717
419	21.000000	-0.089440	-0.180101
420	21.050000	-0.098297	-0.174078
421	21.100000	-0.106842	-0.167666
422	21.150000	-0.115057	-0.160885
